id,nombre,precio,stock,bodega,vendidos
681,Neon Caves,,,,
682,Neon Chrome,,,,
683,Neonwall,,,,
684,NeuroVoider,,,,
685,Never Stop,,,,
686,Never Stop Sneakin',,,,
687,New Frontier Days: Founding Pioneers,,,,
688,New Super Mario Bros. U Deluxe,,,,
689,The Next Penelope,,,,
690,Next Up Hero,,,,
691,Nickelodeon Kart Racers,,,,
692,Nidhogg 2,,,,
693,Night in the Woods,,,,
694,Night Trap: 25th Anniversary Edition,,,,
695,Nightmare Boy,,,,
696,Nights of Azure 2: Bride of the New Moon,,,,
697,Nihilumbra,,,,
698,Nine Parchments,,,,
699,Ninja Shodown,,,,
700,Nintendo Labo - Toy-Con 01: Variety Kit,,,,
701,Nintendo Labo - Toy-Con 02: Robot Kit,,,,
702,Nintendo Labo - Toy-Con 03: Vehicle Kit,,,,
703,Nintendo Labo - Toy-Con 04: VR Kit,,,,
704,Nippon Marathon,,,,
705,No Heroes Here,,,,
706,No Thing,,,,
707,A Normal Lost Phone,,,,
708,North,,,,
709,Not a Hero,,,,
710,Not Not: A Brain Buster,,,,
711,Nuclear Throne,,,,
712,Nuclien,,,,
713,Observer,,,,
714,Oceanhorn: Monster of Uncharted Seas,,,,
715,Octodad: Dadliest Catch,,,,
716,Octopath Traveler,,,,
717,Odallus: The Dark Call,,,,
718,Of Mice and Sand: Revised,,,,
719,Oh...Sir! The Hollywood Roast,,,,
720,Oh...Sir! The Insult Simulator,,,,
721,?kami,,,,
722,OK K.O.! Let's Play Heroes,,,,
723,OkunoKa,,,,
724,Old Man's Journey,,,,
725,Old School Musical,,,,
726,OlliOlli: Switch Stance,,,,
727,Omensight: Definitive Edition,,,,
728,One Eyed Kutkh,,,,
729,One More Dungeon,,,,
730,One Piece: Pirate Warriors 3 Deluxe Edition,,,,
731,One Piece: Unlimited World Red Deluxe Edition,,,,
732,Oniken: Unstoppable Edition,,,,
733,Onimusha: Warlords,,,,
734,Oninaki,,,,
735,Operation Hardcore,,,,
736,OPUS: The Day We Found Earth,,,,
737,OPUS: Rocket of Whispers,,,,
738,Othello,,,,
739,Our World is Ended,,,,
740,Out There: ? The Alliance,,,,
741,Outlast,,,,
742,Outlast 2,,,,
743,Overcooked! Special Edition,,,,
744,Overcooked! 2,,,,
745,Overland,,,,
746,Owlboy,,,,
747,Oxenfree,,,,
748,Pac-Man Championship Edition 2 Plus,,,,
749,Packet Queen #,,,,
750,Paladins,,,,
751,Pan-Pan: A Tiny Big Adventure,,,,
752,Pankapu,,,,
753,Paper Wars: Cannon Fodder Devastated,,,,
754,Party Arcade,,,,
755,Party Golf,,,,
756,Party Hard,,,,
757,Party Planet,,,,
758,Path to Mnemosyne,,,,
759,Pato Box,,,,
760,Paw Patrol: On a Roll,,,,
761,Payday 2,,,,
762,Penguin Wars,,,,
763,Penny-Punching Princess,,,,
764,Perception,,,,
765,Percy's Predicament Deluxe,,,,
766,Perfect Angle,,,,
767,Phantom Breaker: Battle Grounds Overdrive,,,,
768,Phantom Trigger,,,,
769,Phoenix Wright: Ace Attorney Trilogy,,,,
770,Photon Cube,,,,
771,Physical Contact: 2048,,,,
772,Physical Contact: Picture Place,,,,
773,Physical Contact: Speed,,,,
774,Pianista: The Legendary Virtuoso,,,,
775,Pic-a-Pix Deluxe,,,,
776,Picross S,,,,
777,Piczle Lines DX,,,,
778,Pikuniku,,,,
779,Pillar,,,,
780,The Pinball Arcade,,,,
781,Pinball FX 3,,,,
782,Pine,,,,
783,Ping Pong Trick Shot Evolution,,,,
784,PixelJunk Monsters 2,,,,
785,Pixel Action Heroes,,,,
786,Pixel Devil and the Broken Cartridge,,,,
787,Pizza Parking,,,,
788,Plague Road,,,,
789,Planet Alpha,,,,
790,Planetarian: The Reverie of a Little Planet,,,,
791,Plantera DX,,,,
792,Pocket Academy,,,,
793,Pocket Rumble,,,,
794,Pode,,,,
795,Poi: Explorer Edition,,,,
796,Poisoft Thud Card,,,,
797,"Pokémon: Let's Go, Eevee!",,,,
798,"Pokémon: Let's Go, Pikachu!",,,,
799,Pokémon Quest,,,,
800,Pokémon Shield,,,,
801,Pokémon Sword,,,,
802,Pokkén Tournament DX,,,,
803,Poly Bridge,,,,
804,PolyGod,,,,
805,Pool,,,,
806,Pool Billiard,,,,
807,Pool Panic,,,,
808,Portal Knights,,,,
809,Power Rangers: Battle for the Grid,,,,
810,Premium Pool Arena,,,,
811,The Princess Guide,,,,
812,Prison Architect,,,,
813,Professional Farmer: American Dream,,,,
814,Project Highrise: Architect's Edition,,,,
815,Pumped BMX Pro,,,,
816,Punch Club,,,,
817,"Pure / Electric Love ""What do you want?"" - Eri Kitami -",,,,
818,Putty Pals,,,,
819,Puyo Puyo Tetris,,,,
820,Puzzle Adventure Blockle,,,,
821,Puzzle Box Maker,,,,
822,Puzzle Puppers,,,,
